Length,Total,File 1 Accuracy,File 1 Latency
All,1400,57.785714285714285,6.661678070170539
9,25,28.0,4.522408657073974
3,283,60.7773851590106,9.301706579464485
2,632,62.9746835443038,4.900171989127051
4,181,54.69613259668508,9.833660921339172
5,92,50.0,9.732049851313882
7,22,36.36363636363637,6.2805903283032505
8,33,54.54545454545455,4.878544670162779
6,49,59.183673469387756,6.893174706673135
11,14,64.28571428571429,1.988167677606855
10,13,30.76923076923077,2.0706022519331713
12,17,23.529411764705884,1.7849967199213364
13,8,25.0,3.0476930141448975
14,6,66.66666666666667,1.6791088581085205
15,4,25.0,1.732007920742035
16,3,33.333333333333336,1.8477303981781006
21,2,0.0,1.8445063829421997
17,6,33.333333333333336,2.064400315284729
25,2,0.0,2.3828320503234863
19,3,66.66666666666667,1.8413788477579753
27,1,100.0,3.9919960498809814
20,1,100.0,1.8889856338500977
32,1,100.0,3.702279567718506
29,2,0.0,1.9263349771499634
