Length,Total,File 1 Accuracy,File 1 Latency,File 1 Gen Time
All,1400,37.714285714285715,2.703078587906701,2.703078587906701
9,25,36.0,2.0878711700439454,2.0878711700439454
3,283,37.45583038869258,2.8204684628193455,2.8204684628193455
2,632,43.037974683544306,2.2859067007710663,2.2859067007710663
4,181,31.49171270718232,3.9761569341901914,3.9761569341901914
5,92,35.869565217391305,3.2276563488918804,3.2276563488918804
7,22,27.272727272727273,3.3387552066282793,3.3387552066282793
8,33,36.36363636363637,2.7301029725508257,2.7301029725508257
6,49,30.612244897959183,2.6999939753084767,2.6999939753084767
11,14,21.428571428571427,2.039351667676653,2.039351667676653
10,13,30.76923076923077,2.163772179530217,2.163772179530217
12,17,29.41176470588235,2.0714621543884277,2.0714621543884277
13,8,12.5,2.336983382701874,2.336983382701874
14,6,33.333333333333336,2.688971837361654,2.688971837361654
15,4,25.0,1.9816091656684875,1.9816091656684875
16,3,0.0,3.143847942352295,3.143847942352295
21,2,0.0,2.4235196113586426,2.4235196113586426
17,6,33.333333333333336,1.5964868466059368,1.5964868466059368
25,2,0.0,1.5654114484786987,1.5654114484786987
19,3,0.0,1.6101683775583904,1.6101683775583904
27,1,0.0,2.0264883041381836,2.0264883041381836
20,1,0.0,2.108624219894409,2.108624219894409
32,1,0.0,2.395117998123169,2.395117998123169
29,2,0.0,1.8765558004379272,1.8765558004379272
