Length,Total,File 1 Accuracy,File 1 Latency,File 1 Gen Time
All,1400,59.285714285714285,16.329819091217857,16.329819091217857
9,25,64.0,15.163632850646973,15.163632850646973
3,283,65.01766784452296,15.906577220653897,15.906577220653897
2,632,60.75949367088607,15.287641424167004,15.287641424167004
4,181,56.353591160220994,19.039152822441817,19.039152822441817
5,92,59.78260869565217,19.428072180437006,19.428072180437006
7,22,27.272727272727273,18.73547706820748,18.73547706820748
8,33,54.54545454545455,16.785660006783225,16.785660006783225
6,49,55.10204081632653,16.657410675165604,16.657410675165604
11,14,57.142857142857146,18.238059520721436,18.238059520721436
10,13,30.76923076923077,13.746140480041504,13.746140480041504
12,17,52.94117647058823,16.6515129033257,16.6515129033257
13,8,37.5,17.754429578781128,17.754429578781128
14,6,33.333333333333336,16.675222277641296,16.675222277641296
15,4,50.0,17.68886011838913,17.68886011838913
16,3,33.333333333333336,16.173991600672405,16.173991600672405
21,2,50.0,16.838101267814636,16.838101267814636
17,6,33.333333333333336,9.774988532066345,9.774988532066345
25,2,0.0,14.679637908935547,14.679637908935547
19,3,66.66666666666667,14.809372504552206,14.809372504552206
27,1,100.0,9.7405104637146,9.7405104637146
20,1,100.0,8.984065055847168,8.984065055847168
32,1,100.0,12.734983921051025,12.734983921051025
29,2,50.0,13.73491084575653,13.73491084575653
