Category,Total,File 1 Accuracy,File 1 Latency,File 1 Gen Time
All,1400,59.285714285714285,16.329819091217857,16.329819091217857
computer science,100,61.0,15.575837953090668,15.575837953090668
math,100,55.0,17.01666176557541,17.01666176557541
chemistry,100,58.0,19.032616019248962,19.032616019248962
engineering,100,47.0,23.52791929483414,23.52791929483414
law,100,40.0,15.856537952423096,15.856537952423096
biology,100,83.0,15.838215863704681,15.838215863704681
health,100,70.0,16.018166012763977,16.018166012763977
physics,100,60.0,20.37327475309372,20.37327475309372
business,100,63.0,13.566914880275727,13.566914880275727
philosophy,100,52.0,13.103334965705871,13.103334965705871
economics,100,67.0,15.846873390674592,15.846873390674592
other,100,59.0,13.495045893192291,13.495045893192291
psychology,100,64.0,14.733917148113251,14.733917148113251
history,100,51.0,14.632151384353637,14.632151384353637
