Length,Total,File 1 Accuracy,File 1 Latency,File 1 Gen Time
All,1400,57.785714285714285,6.661678070170539,14.681995510544096
9,25,28.0,4.522408657073974,28.481861543655395
3,283,60.7773851590106,9.301706579464485,14.158748008337122
2,632,62.9746835443038,4.900171989127051,7.056718794982644
4,181,54.69613259668508,9.833660921339172,17.823722128051422
5,92,50.0,9.732049851313882,20.712903979031935
7,22,36.36363636363637,6.2805903283032505,24.16355532949621
8,33,54.54545454545455,4.878544670162779,25.23877987717137
6,49,59.183673469387756,6.893174706673135,21.052586759839738
11,14,64.28571428571429,1.988167677606855,34.76154385294233
10,13,30.76923076923077,2.0706022519331713,29.492888579001793
12,17,23.529411764705884,1.7849967199213364,38.73524072590996
13,8,25.0,3.0476930141448975,37.63095825910568
14,6,66.66666666666667,1.6791088581085205,53.70602413018545
15,4,25.0,1.732007920742035,50.79717403650284
16,3,33.333333333333336,1.8477303981781006,73.2598598798116
21,2,0.0,1.8445063829421997,75.21205568313599
17,6,33.333333333333336,2.064400315284729,49.72695314884186
25,2,0.0,2.3828320503234863,95.5553869009018
19,3,66.66666666666667,1.8413788477579753,56.12506612141927
27,1,100.0,3.9919960498809814,37.74552536010742
20,1,100.0,1.8889856338500977,54.1624116897583
32,1,100.0,3.702279567718506,173.22828221321106
29,2,0.0,1.9263349771499634,100.00563478469849
