Length,Total,File 1 Accuracy,File 1 Tokens
All,12032,36.477726063829785,122.37441821808511
2,5272,43.70257966616085,88.95940819423369
3,2607,34.10049865746068,165.4675872650556
4,1537,31.164606376057254,177.01756668835392
5,804,30.597014925373134,196.0820895522388
6,477,29.350104821802937,131.36268343815513
7,273,25.641025641025642,140.93406593406593
8,247,23.481781376518217,64.60323886639677
9,223,28.699551569506728,60.399103139013455
10,118,18.64406779661017,21.11864406779661
11,109,28.440366972477065,27.24770642201835
12,97,24.742268041237114,18.54639175257732
13,77,24.675324675324674,18.77922077922078
14,47,27.659574468085108,14.74468085106383
15,26,23.076923076923077,11.884615384615385
16,24,20.833333333333332,15.666666666666666
17,32,28.125,14.34375
18,13,30.76923076923077,12.76923076923077
19,14,7.142857142857143,29.0
20,9,0.0,32.0
21,10,20.0,13.5
24,1,0.0,16.0
25,4,25.0,12.25
27,2,0.0,17.5
29,2,50.0,7.0
32,1,0.0,23.0
33,1,0.0,21.0
34,2,50.0,12.5
36,2,0.0,12.5
38,1,0.0,7.0
