Length,Total,File 1 Accuracy,File 1 Tokens
All,12032,39.59441489361702,153.37308843085106
2,5272,44.08194233687405,122.27655538694992
3,2607,38.358266206367475,202.52090525508248
4,1537,38.19128171763175,226.85426154847104
5,804,36.81592039800995,217.10572139303483
6,477,29.559748427672957,174.62264150943398
7,273,31.86813186813187,104.21978021978022
8,247,29.149797570850204,68.48178137651821
9,223,35.426008968609864,38.01793721973094
10,118,27.966101694915253,32.28813559322034
11,109,27.522935779816514,19.220183486238533
12,97,39.175257731958766,13.8659793814433
13,77,32.467532467532465,31.038961038961038
14,47,36.170212765957444,13.617021276595745
15,26,23.076923076923077,13.884615384615385
16,24,41.666666666666664,16.916666666666668
17,32,25.0,13.625
18,13,30.76923076923077,12.538461538461538
19,14,14.285714285714286,21.357142857142858
20,9,0.0,11.777777777777779
21,10,20.0,9.4
24,1,0.0,17.0
25,4,25.0,16.75
27,2,0.0,6.0
29,2,50.0,27.0
32,1,0.0,23.0
33,1,0.0,21.0
34,2,0.0,12.0
36,2,0.0,12.0
38,1,100.0,16.0
